MFR CAT,Feb-22,Apr-22,Jul-22,Sep-22,Oct-22,Feb-23,Mar-23,Apr-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Cost_02/2022,Cost_04/2022,Cost_07/2022,Cost_09/2022,Cost_10/2022,Cost_02/2023,Cost_03/2023,Cost_04/2023,Cost_08/2023,Cost_09/2023,Cost_10/2023,Cost_11/2023,Cost_12/2023,Cost_01/2024,Cost_02/2024,Cost_03/2024,Cost_04/2024,Cost_05/2024,Cost_06/2024,Cost_07/2024,Cost_08/2024,Cost_09/2024,Cost_10/2024,Cost_11/2024,Cost_12/2024,AVG_QTY_RECEIVED_PER_MONTH,AVG_COST_PER_MONTH,TOTAL_QTY_RECEIVED_PER_YEAR,TOTAL_COST_PER_YEAR
AB9U16150090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0.04,85,1,2125
AG7420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0.04,48,1,1200
APB-1-2-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0.08,124,2,3100
APB-1.5-2-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0.08,124,2,3100
APB-1.5-3-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,0.04,62,1,1550
APB-1.5-4-3D-ES,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1550,0,0,0,0,0,3100,0,0,0,1550,0,0,0,0,0,1550,0,0,0.2,310,5,7750
APB-2-4-3D-ES,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0,-0.12,-189.76,-3,-4744
APB-2.5-4-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,0.16,248,4,6200
APB-3-4-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,0.08,124,2,3100
APB-3-6-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0,0.04,62,1,1550
APB-3-8-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,4650,0,0,0,0,0,0.2,310,5,7750
APB-3.5-10-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650,0,0,0,1550,0,0,0,0,0,0.16,248,4,6200
APB-3.5-8-3D-ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,4650,0,0,0,0,0,0.16,248,4,6200
